======================================================================
Experiment 3 (DT near-field): FULL TRAINING FROM SCRATCH
======================================================================
Run Phase 1: Adam
LBFGS Iter  2300: Loss = 0.00108322 Test Loss = 0.00126900 (Interior = 0.00001269, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2400: Loss = 0.00101464 Test Loss = 0.00108386 (Interior = 0.00001084, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2500: Loss = 0.00096520 Test Loss = 0.00098716 (Interior = 0.00000987, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2600: Loss = 0.00091123 Test Loss = 0.00095130 (Interior = 0.00000951, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2700: Loss = 0.00086860 Test Loss = 0.00088800 (Interior = 0.00000888, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2800: Loss = 0.00082971 Test Loss = 0.00085627 (Interior = 0.00000856, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  2900: Loss = 0.00078992 Test Loss = 0.00081622 (Interior = 0.00000816, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3000: Loss = 0.00075232 Test Loss = 0.00067700 (Interior = 0.00000677, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3100: Loss = 0.00071936 Test Loss = 0.00083341 (Interior = 0.00000833, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3200: Loss = 0.00068738 Test Loss = 0.00066977 (Interior = 0.00000670, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3300: Loss = 0.00065822 Test Loss = 0.00056525 (Interior = 0.00000565, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3400: Loss = 0.00063278 Test Loss = 0.00064683 (Interior = 0.00000647, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3500: Loss = 0.00060710 Test Loss = 0.00059423 (Interior = 0.00000594, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3600: Loss = 0.00057939 Test Loss = 0.00052108 (Interior = 0.00000521, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3700: Loss = 0.00055783 Test Loss = 0.00046390 (Interior = 0.00000464, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3800: Loss = 0.00053498 Test Loss = 0.00053687 (Interior = 0.00000537, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  3900: Loss = 0.00051331 Test Loss = 0.00054862 (Interior = 0.00000549, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  4000: Loss = 0.00049408 Test Loss = 0.00059354 (Interior = 0.00000594, BC_x = 0.00000000, BC_y = 0.00000000)
Run Phase 4: L-BFGS
LBFGS Iter   100: Loss = 0.00049430 Test Loss = 0.00057154 (Interior = 0.00000572, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   200: Loss = 0.00048093 Test Loss = 0.00056299 (Interior = 0.00000563, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   300: Loss = 0.00046743 Test Loss = 0.00059278 (Interior = 0.00000593, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   400: Loss = 0.00045452 Test Loss = 0.00059266 (Interior = 0.00000593, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   500: Loss = 0.00043979 Test Loss = 0.00059548 (Interior = 0.00000595, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   600: Loss = 0.00042548 Test Loss = 0.00059278 (Interior = 0.00000593, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   700: Loss = 0.00041108 Test Loss = 0.00058461 (Interior = 0.00000585, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   800: Loss = 0.00039743 Test Loss = 0.00061107 (Interior = 0.00000611, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   900: Loss = 0.00038341 Test Loss = 0.00059108 (Interior = 0.00000591, BC_x = 0.00000000, BC_y = 0.00000000)
